FIN.TRANSACTION DATE,MCH.MERCHANT NAME,FIN.TRANSACTION AMOUNT
14/09/2017,POUNDLAND LTD,13.05
14/09/2017,THE WORKS,33.55
14/09/2017,INSTITUTE OF CUSTOMER,103.06
14/09/2017,POSSESSIONCLAIM.GO,325.00
14/09/2017,DVLA VEHICLE TAX,242.50
14/09/2017,SAINSBURYS SACAT 6211,5.15
14/09/2017,SAINSBURYS 0730,40.00
14/09/2017,TRAINLINE,70.28
14/09/2017,AMAZON UK MARKETPLACE,21.98
14/09/2017,BUILDBASE LIMITED,66.00
14/09/2017,WWW.PRISM-ONLINE.CO.UK,705.95
14/09/2017,GWR OXFORD SST,19.80
14/09/2017,BRAYLEY,66.02
14/09/2017,HOWDENS - OXFORD D879,116.40
14/09/2017,TESCO STORES 6167,90.00
14/09/2017,LINKEDIN-375 9873283,30.00
14/09/2017,POST OFFICE COUNTER,90.00
14/09/2017,SELFSERVE TICKET,115.80
14/09/2017,TESCO STORES 6292,40.00
13/09/2017,HEROKU AUG-12676688,5.46
13/09/2017,WWW.ARGOS.CO.UK,114.20
13/09/2017,TRAINLINE,24.38
13/09/2017,SMITH & OSMAN SERVICES,40.75
13/09/2017,MBL SEMINARS,600.00
13/09/2017,AMAZON UK MARKETPLACE,37.98
13/09/2017,PLUMB CENTER CB,6.55
13/09/2017,CO-OPERATIVE FOOD,50.00
13/09/2017,EXECUTIVE SECURITY,17.76
13/09/2017,HEALTH SCREEN,295.00
13/09/2017,CURRYS OXFORD CITY 282,29.99
13/09/2017,FACEBK R7NGVCNH72,40.00
12/09/2017,HEALTH SCREEN,295.00
12/09/2017,WWW.BPP PROF DEVLM,358.80
12/09/2017,EXECUTIVE SECURITY,10.57
12/09/2017,GWR WEBSALES,34.10
12/09/2017,TRAINLINE,68.75
12/09/2017,AMAZON UK MARKETPLACE,59.92
12/09/2017,AMAZON UK MARKETPLACE,9.90
12/09/2017,WWW.PMGLTD.CO.UK,426.00
12/09/2017,SMITH & LOW LTD,7.90
12/09/2017,TRAINLINE,92.87
12/09/2017,CLEANSAFESERVICES.,1697.40
12/09/2017,SAINSBURYS LOC 6211,90.00
12/09/2017,MARKS&SPENCER PLC,40.00
12/09/2017,TESCO STORES 6292,130.00
12/09/2017,HMCTS-TV031,927.00
12/09/2017,MARKS&SPENCER PLC,3.49
12/09/2017,SCREWFIX OXFORD,6.19
11/09/2017,AMAZON.CO.UK,20.99
10/09/2017,RS COMPONENTS,16.90
11/09/2017,SUK RETAIL LTD,2.99
11/09/2017,AMAZON UK MARKETPLACE,2.55
11/09/2017,RYMAN 1172,2.38
11/09/2017,BOOKER LIMITED OXFORD,115.63
11/09/2017,PAYPAL  GRADKOINTER,36.60
11/09/2017,TOOLMASTER,4.84
11/09/2017,WWW.MINDTOOLS.COM,17.00
11/09/2017,TRAVELODGE,391.40
11/09/2017,A PLUS SAFETY,414.00
11/09/2017,A PLUS SAFETY,414.00
11/09/2017,AMAZON UK MARKETPLACE,612.50
08/09/2017,SALFORD PROFESSIONAL D,252.00
10/09/2017,AMAZON UK MARKETPLACE,72.49
09/09/2017,HOTJAR,27.48
09/09/2017,RAPIDSPIKE,22.74
09/09/2017,SUMMERTOWN CAR PARK,1.70
08/09/2017,POST OFFICE COUNTER,60.00
08/09/2017,TRAVELODGE,416.10
07/09/2017,TFL ROAD CHARGE,11.50
07/09/2017,DEAL ELECTRICAL SUPPLI,126.84
06/09/2017,MAILCLARKAI,30.65
07/09/2017,RYMAN 1172,20.93
07/09/2017,AMAZON.CO.UK,79.90
07/09/2017,CIEH,368.00
07/09/2017,RYMAN 1172,1.99
07/09/2017,B&M RETAIL LTD,9.98
07/09/2017,TRAVELODGE,202.50
07/09/2017,HOTELS.COM141347701663,522.97
07/09/2017,HOTELS.COM141347511729,531.93
07/09/2017,CLEANSAFESERVICES.,848.70
07/09/2017,TRAINLINE,68.09
07/09/2017,PAYPAL  LINSHENGQIA,15.64
07/09/2017,SMITH & LOW LTD,9.49
06/09/2017,TRAINLINE,33.35
06/09/2017,TRAINLINE,277.77
06/09/2017,TRAINLINE,277.77
06/09/2017,MARKS&SPENCER PLC,931.50
06/09/2017,CARPETS 4 LESS,98.78
06/09/2017,WWW.OFCOM.ORG.UK,75.00
06/09/2017,CARPETS 4 LESS,1302.96
06/09/2017,AMAZON EU,19.46
06/09/2017,NORTH OXFORD GARAG,8.24
06/09/2017,SMITH & LOW LTD,17.46
06/09/2017,NORTH OXFORD GARAG,-8.24
05/09/2017,MS (DISTRIBUTION) UK L,150.51
05/09/2017,AMAZON UK RETAIL AMAZO,75.95
30/08/2017,PARTNERSHIP MEDIA GROU,534.00
05/09/2017,JNE SECURITY LIMITED,1000.00
05/09/2017,JNE SECURITY LIMITED,1160.00
05/09/2017,ONLINE LABELS LTD,15.48
05/09/2017,TRAINLINE,68.75
05/09/2017,TRAINLINE,52.79
05/09/2017,AMAZON EU,103.80
04/09/2017,PREMIER INN,144.98
29/08/2017,IEMA LTD,155.00
05/09/2017,DELL PRODUCT,900.88
04/09/2017,WWW.CILEX LAW SC.AC.UK,715.00
04/09/2017,TIGER,7.00
04/09/2017,DVLA - ENF,40.00
04/09/2017,TRAVELODGE,214.50
04/09/2017,AMAZON UK MARKETPLACE,57.47
04/09/2017,MARKS&SPENCER PLC,37.62
04/09/2017,TOOLSTATION,10.66
04/09/2017,PAYPAL  NETFLIX.COM,-7.49
01/09/2017,GWR WEBSALES,65.90
02/09/2017,AMAZON EU,19.18
01/09/2017,COTSWOLD DISTRICT COUN,144.00
01/09/2017,EYRE & ELLISTON LTD,33.64
01/09/2017,EYRE & ELLISTON LTD,133.80
01/09/2017,EYRE & ELLISTON LTD,174.00
01/09/2017,EYRE & ELLISTON LTD,213.72
01/09/2017,INSIGHTLY CRM,139.60
01/09/2017,THE CHILTERN RLYWY,48.00
01/09/2017,AMAZON UK MARKETPLACE,14.99
01/09/2017,LINKEDIN-374 5036083,32.76
01/09/2017,NATIONAL RAILCARD,70.00
01/09/2017,NATIONAL RAILCARD,70.00
01/09/2017,POSSESSIONCLAIM.GO,325.00
01/09/2017,POSSESSIONCLAIM.GO,325.00
01/09/2017,SWITCHBOARD,25.10
